Date,Country,realGDP,realPersInc,unempRate,indProd,retailSales
10/1/1999,USA,101.22,121.26,0.041,89.33,84.932
11/1/1999,USA,101.32,120.8864648,0.041,89.75,85.8164
12/1/1999,USA,101.39,120.7029744,0.04,90.44,87.406
1/1/2000,USA,101.45,120.6498976,0.04,90.46,86.4326
2/1/2000,USA,101.51,120.6571551,0.041,90.73,87.3692
3/1/2000,USA,101.58,120.6144134,0.04,91.05,87.81
4/1/2000,USA,101.66,120.4016464,0.038,91.71,86.4322
5/1/2000,USA,101.7,119.9530245,0.04,91.87,86.4359
6/1/2000,USA,101.7,119.4038505,0.04,91.95,86.6156
7/1/2000,USA,101.65,118.9360728,0.04,91.82,86.0189
8/1/2000,USA,101.57,118.6747086,0.041,91.55,86.1678
9/1/2000,USA,101.47,118.5412444,0.039,91.9,87.1751
10/1/2000,USA,101.34,118.4117062,0.039,91.63,86.8364
11/1/2000,USA,101.19,118.2001441,0.039,91.65,86.3291
12/1/2000,USA,101.01,117.95157,0.039,91.4,86.2566
1/1/2001,USA,100.82,117.739162,0.042,90.81,86.4968
2/1/2001,USA,100.63,117.5994559,0.042,90.23,86.2998
3/1/2001,USA,100.45,117.447385,0.043,90.02,85.4389
4/1/2001,USA,100.27,117.1727073,0.044,89.76,86.7934
5/1/2001,USA,100.08,116.7151846,0.043,89.21,86.5274
6/1/2001,USA,99.88,116.1744923,0.045,88.68,85.9085
7/1/2001,USA,99.66,115.6821856,0.046,88.17,85.7153
8/1/2001,USA,99.46,115.3306567,0.049,88.06,86.2421
9/1/2001,USA,99.3,115.0915843,0.05,87.72,84.3124
10/1/2001,USA,99.17,114.9134725,0.053,87.34,90.714
11/1/2001,USA,99.09,114.7577516,0.055,86.91,88.155
12/1/2001,USA,99.05,114.6242602,0.057,86.93,86.9122
1/1/2002,USA,99.04,114.5199146,0.057,87.48,86.7093
2/1/2002,USA,99.04,114.4292456,0.057,87.46,87.0004
3/1/2002,USA,99.04,114.2726505,0.057,88.17,86.547
4/1/2002,USA,99.02,113.9591988,0.059,88.54,87.5931
5/1/2002,USA,98.99,113.4591118,0.058,88.91,86.2507
6/1/2002,USA,98.93,112.9115588,0.058,89.76,86.9408
7/1/2002,USA,98.85,112.4845174,0.058,89.54,87.7479
8/1/2002,USA,98.75,112.276867,0.057,89.55,88.229
9/1/2002,USA,98.64,112.2033555,0.057,89.68,86.6393
10/1/2002,USA,98.52,112.1485059,0.057,89.41,86.9055
11/1/2002,USA,98.42,112.0466649,0.059,89.87,87.2704
12/1/2002,USA,98.34,111.9602662,0.06,89.43,87.8656
1/1/2003,USA,98.29,111.9718951,0.058,90.11,87.9707
2/1/2003,USA,98.29,112.1108362,0.059,90.24,86.1577
3/1/2003,USA,98.33,112.274158,0.059,90.03,87.5328
4/1/2003,USA,98.41,112.3389871,0.06,89.39,87.6724
5/1/2003,USA,98.55,112.24472,0.061,89.42,87.8524
6/1/2003,USA,98.72,112.0798278,0.063,89.57,88.7693
7/1/2003,USA,98.92,111.954413,0.062,89.96,89.4533
8/1/2003,USA,99.11,111.9257776,0.061,89.83,90.5306
9/1/2003,USA,99.27,111.9292064,0.061,90.36,89.7566
10/1/2003,USA,99.4,111.882972,0.06,90.49,89.3233
11/1/2003,USA,99.49,111.7415735,0.058,91.18,90.4269
12/1/2003,USA,99.53,111.5403363,0.057,91.12,89.934
1/1/2004,USA,99.55,111.3254274,0.057,91.35,89.9788
2/1/2004,USA,99.56,111.1257456,0.056,91.91,90.4485
3/1/2004,USA,99.56,110.9329865,0.058,91.45,91.9531
4/1/2004,USA,99.58,110.7339962,0.056,91.86,90.7604
5/1/2004,USA,99.61,110.5133599,0.056,92.59,92.061
6/1/2004,USA,99.66,110.2509581,0.056,91.83,90.4161
7/1/2004,USA,99.73,109.9262343,0.055,92.53,91.3387
8/1/2004,USA,99.82,109.5392469,0.054,92.6,91.4699
9/1/2004,USA,99.91,109.1314936,0.054,92.68,92.8517
10/1/2004,USA,100.02,108.7492239,0.055,93.56,92.9519
11/1/2004,USA,100.12,108.4131376,0.054,93.76,92.8704
12/1/2004,USA,100.22,108.0943139,0.054,94.45,93.9858
1/1/2005,USA,100.31,107.7582342,0.053,94.88,93.41
2/1/2005,USA,100.37,107.3814995,0.054,95.54,93.8138
3/1/2005,USA,100.42,106.9615788,0.052,95.38,93.4641
4/1/2005,USA,100.45,106.4985283,0.052,95.55,94.644
5/1/2005,USA,100.48,106.0199369,0.051,95.67,93.7526
6/1/2005,USA,100.52,105.6033349,0.05,96.04,96.1208
7/1/2005,USA,100.57,105.3308677,0.05,95.73,96.9203
8/1/2005,USA,100.63,105.2281743,0.049,96,94.8798
9/1/2005,USA,100.71,105.2218193,0.05,94.2,93.7466
10/1/2005,USA,100.79,105.2286442,0.05,95.39,93.8999
11/1/2005,USA,100.9,105.1887173,0.05,96.36,95.1139
12/1/2005,USA,101.01,105.0814773,0.049,96.96,95.1788
1/1/2006,USA,101.12,104.8916221,0.047,97.07,97.3495
2/1/2006,USA,101.2,104.7051661,0.048,97.08,96.4354
3/1/2006,USA,101.25,104.7741782,0.047,97.28,96.7064
4/1/2006,USA,101.25,105.361371,0.047,97.67,96.8106
5/1/2006,USA,101.23,106.4266574,0.046,97.57,95.944
6/1/2006,USA,101.2,107.4500354,0.046,97.94,96.1494
7/1/2006,USA,101.17,107.8759957,0.047,97.91,96.3752
8/1/2006,USA,101.17,107.5588846,0.047,98.29,95.9233
9/1/2006,USA,101.18,106.9812978,0.045,98.09,95.7794
