Date,SPY,XLK,IYC
1/26/2018,1,0.860039225,0.585602503
1/29/2018,0,-0.564346112,0.03683588
1/30/2018,0,-0.560701489,-0.49992301
1/31/2018,1,0.387491596,-0.325021675
2/1/2018,0,0.009525258,-0.742418399
2/2/2018,0,-1.762659823,-0.830064156
2/5/2018,0,-2.486158829,-2.498065759
2/6/2018,1,1.580875127,1.447213028
2/7/2018,0,-0.779258362,-0.060141303
2/8/2018,0,-2.462949445,-2.886082551
2/9/2018,1,1.345761338,0.214998985
2/12/2018,1,0.977555919,0.868966342
2/13/2018,1,0.100830741,0.516466276
2/14/2018,1,1.000683784,0.888187917
2/15/2018,1,1.0416906,0.69309377
2/16/2018,1,-0.125812059,-0.019501022
2/20/2018,0,0.010463006,-0.676456018
2/21/2018,0,-0.407932412,0.102782802
2/22/2018,1,0.027876131,-0.279110648
2/23/2018,1,1.145229108,0.954520683
2/26/2018,1,0.849412287,0.517015126
2/27/2018,0,-0.621361574,-1.300057444
2/28/2018,0,-0.450677975,-0.164074822
3/1/2018,0,-0.997586416,-0.761937799
3/2/2018,1,0.503306009,0.182743774
3/5/2018,1,0.540073724,0.705987871
3/6/2018,1,0.084793684,0.320157856
3/7/2018,0,0.275994418,-0.403591075
3/8/2018,1,0.208107296,0.161734804
3/9/2018,1,1.032991601,1.13077287
3/12/2018,0,0.137704437,0.154680455
3/13/2018,0,-0.700060169,-0.510490062
3/14/2018,0,-0.089795549,-0.293769155
3/15/2018,0,-0.007874662,-0.085503238
3/16/2018,1,-0.099817712,-0.037819094
3/19/2018,0,-1.187005551,-0.961361234
3/20/2018,1,-0.065839079,0.347678023
3/21/2018,0,-0.385842534,-0.193576625
3/22/2018,0,-1.537978298,-1.363193316
3/23/2018,0,-1.587095052,-1.400846348
3/26/2018,1,2.09229129,1.897765111
3/27/2018,0,-1.907004199,-1.367139394
3/28/2018,0,-0.423108536,-0.608475119
3/29/2018,1,1.081672823,0.886904484
4/2/2018,0,-1.422357392,-2.095406653
4/3/2018,1,0.521371048,0.739033577
4/4/2018,1,0.752789822,1.091508714
4/5/2018,1,0.195272266,0.794720485
4/6/2018,0,-1.46193524,-1.444888588
4/9/2018,1,0.404541544,-0.185733103
4/10/2018,1,1.352457607,0.635336223
4/11/2018,0,-0.379219744,-0.261470823
4/12/2018,1,0.643115293,0.341229822
4/13/2018,0,-0.230231333,-0.368676845
4/16/2018,1,0.39791644,0.623726557
4/17/2018,1,1.011874547,1.189507995
4/18/2018,1,-0.192233359,0.439673193
4/19/2018,0,-0.676627897,-0.187127634
4/20/2018,0,-0.839198982,-0.72803979
4/23/2018,0,-0.248539695,0.063340605
4/24/2018,0,-1.047443391,-1.024058313
4/25/2018,1,-0.031796531,0.281497715
4/26/2018,1,0.992010943,0.834432313
4/27/2018,1,-0.144817892,0.201710314
4/30/2018,0,-0.41549009,-0.169403798
5/1/2018,1,0.67205216,0.096707378
5/2/2018,0,-0.101131609,-0.553371339
5/3/2018,0,0.088909808,-0.397936647
5/4/2018,1,1.036190314,0.945210034
5/7/2018,1,0.355909246,0.044102587
5/8/2018,0,0.085340025,-0.259209374
5/9/2018,1,0.659758995,0.134158475
5/10/2018,1,0.7004133,0.201026835
5/11/2018,1,-0.122507781,0.151935002
5/14/2018,1,-0.04884319,0.162672941
5/15/2018,0,-0.583998636,-0.410431082
5/16/2018,1,0.215198443,0.604967227
5/17/2018,0,-0.33785654,-0.264175206
5/18/2018,0,-0.281209717,-0.216586089
5/21/2018,1,0.455967981,0.318568674
5/22/2018,0,-0.123115785,-0.379934711
5/23/2018,1,0.378701339,0.318677106
5/24/2018,0,-0.1062274,0.136028011
5/25/2018,0,-0.081670357,0.161517919
5/29/2018,0,-0.353381634,-0.541649033
5/30/2018,1,0.378701339,0.708933301
5/31/2018,0,-0.024257243,-0.532680304
6/1/2018,1,0.925795997,0.350086201
6/4/2018,1,0.416565613,0.819493834
6/5/2018,1,0.158715636,0.271225452
6/6/2018,1,0.332334937,0.576337228
6/7/2018,0,-0.501266878,0.192315004
6/8/2018,1,-0.136394274,0.052146408
6/11/2018,1,0.023219235,0.323438181
6/12/2018,1,0.237913632,0.268524004
6/13/2018,0,-0.335165115,0.108149383
6/14/2018,1,0.364903174,0.695870834
6/15/2018,0,-0.259740701,0.14859877
6/18/2018,0,0.023168555,-0.156037019
6/19/2018,0,-0.336410836,0.019031183
6/20/2018,1,0.079440489,0.396037561
6/21/2018,0,-0.48224029,-0.330058117
6/22/2018,1,-0.2263086,0.025957934
6/25/2018,0,-1.241834356,-1.424567341
6/26/2018,1,0.190100034,0.251576491
6/27/2018,0,-0.827344005,-0.846720078
6/28/2018,1,0.655518095,0.275278143
6/29/2018,1,-0.065357073,-0.087680318
7/2/2018,1,0.468013312,0.106059593
7/3/2018,0,-0.722629186,-0.296032995
7/5/2018,1,0.763738093,0.389527408
7/6/2018,1,0.623828483,0.628538482
7/9/2018,1,0.392780464,0.699774132
7/10/2018,1,0.095110542,0.106664736
7/11/2018,0,-0.264430975,-0.254479069
7/12/2018,1,0.857205659,0.481069412
7/13/2018,1,-0.103736616,0.293726043
7/16/2018,0,-0.174994697,0.008261263
7/17/2018,1,0.384970215,0.049886206
7/18/2018,1,-0.134960169,0.042881839
7/19/2018,0,-0.245495045,-0.172104054
7/20/2018,0,-0.024861215,-0.304779226
7/23/2018,1,0.25059884,-0.09623425
7/24/2018,1,0.272524536,-0.274758385
7/25/2018,1,0.673237673,0.524841508
7/26/2018,0,-0.926579213,-0.116895185
7/27/2018,0,-1.028063568,-0.012549921
7/30/2018,0,-0.940076589,-0.803457079
7/31/2018,1,0.11292444,0.22292624
8/1/2018,0,0.473673118,-0.279531953
8/2/2018,1,0.674891549,0.426175191
8/3/2018,1,0.164416151,0.21447361
8/6/2018,1,0.265575847,0.470336822
8/7/2018,1,0.178186373,0.281030383
8/8/2018,0,0.115166924,0.090706352
8/9/2018,0,-0.017321435,0.124890142
8/10/2018,0,-0.501310212,-0.439752227
8/13/2018,0,-0.119085241,-0.213261412
8/14/2018,1,0.311535961,0.724889901
8/15/2018,0,-0.557904322,-0.746561601
8/16/2018,1,0.210729358,0.525652903
8/17/2018,1,0.045507649,0.045754009
8/20/2018,1,-0.126796675,0.422031224
8/21/2018,1,0.053336078,0.402310332
8/22/2018,0,0.131260834,0.105844723
8/23/2018,0,0.084046793,-0.178763664
8/24/2018,1,0.532554659,0.399940265
8/27/2018,1,0.481063492,0.266577575
8/28/2018,1,0.058545858,0.14823725
8/29/2018,1,0.47547933,0.670636518
8/30/2018,0,-0.21468828,-0.222167821
8/31/2018,1,0.004788741,0.309116093
9/4/2018,0,-0.260652252,0.268020994
9/5/2018,0,-0.759720152,-0.798864798
9/6/2018,0,-0.457854657,-0.273427457
9/7/2018,0,-0.234832983,0.124297929
9/10/2018,1,0.13802195,0.217245573
9/11/2018,1,0.445941455,0.428460996
9/12/2018,1,-0.279573094,0.0664391
9/13/2018,1,0.627349288,0.010224758
9/14/2018,1,-0.086459664,-0.290806968
9/17/2018,0,-0.763293029,-0.856565488
9/18/2018,1,0.321816888,0.810947463
9/19/2018,1,-0.186889612,-0.079198213
9/20/2018,1,0.633615886,0.427012709
9/21/2018,0,-0.267333262,-0.144900902
9/24/2018,0,0.242552149,-0.387088415
9/25/2018,0,-0.109382787,0.338180295
9/26/2018,0,-0.255102902,0.241836966
9/27/2018,1,0.295993993,0.283229865
9/28/2018,1,0.172546774,-0.065491147
10/1/2018,1,0.232299757,-0.207033755
10/2/2018,0,-0.033080269,-0.608398099
10/3/2018,1,0.133033825,-0.292475963
10/4/2018,0,-1.083045253,-0.919203037
10/5/2018,0,-0.766998041,-0.845459764
10/9/2018,0,0.163479204,0.052070514
10/10/2018,0,-2.884450974,-2.446154271
